team,total_matches,total_wins,win_percentage
Argentina,30.0,12.0,40.0
Australia,606.0,391.0,64.52145214521452
Austria,38.0,20.0,52.63157894736842
Bahamas,16.0,8.0,50.0
Bahrain,88.0,40.0,45.45454545454545
Bangladesh,465.0,183.0,39.35483870967742
Barbados,3.0,1.0,33.33333333333333
Belgium,24.0,15.0,62.5
Belize,12.0,3.0,25.0
Bermuda,33.0,24.0,72.72727272727273
Bhutan,55.0,16.0,29.09090909090909
Botswana,81.0,27.0,33.33333333333333
Brazil,20.0,7.0,35.0
Bulgaria,40.0,11.0,27.500000000000004
Cambodia,25.0,7.0,28.000000000000004
Cameroon,28.0,4.0,14.285714285714285
Canada,76.0,43.0,56.57894736842105
Cayman Islands,22.0,10.0,45.45454545454545
Chile,4.0,0.0,0.0
China,35.0,11.0,31.428571428571427
Cook Islands,16.0,8.0,50.0
Costa Rica,7.0,1.0,14.285714285714285
Croatia,23.0,7.0,30.434782608695656
Cyprus,26.0,14.0,53.84615384615385
Czech Republic,32.0,14.0,43.75
Denmark,44.0,20.0,45.45454545454545
England,664.0,381.0,57.37951807228916
Estonia,29.0,9.0,31.03448275862069
Eswatini,18.0,3.0,16.666666666666664
Fiji,18.0,7.0,38.88888888888889
Finland,24.0,10.0,41.66666666666667
France,44.0,18.0,40.909090909090914
Gambia,9.0,1.0,11.11111111111111
Germany,81.0,46.0,56.79012345679012
Ghana,39.0,13.0,33.33333333333333
Gibraltar,51.0,18.0,35.294117647058826
Greece,22.0,5.0,22.727272727272727
Guernsey,30.0,17.0,56.666666666666664
Hong Kong,163.0,76.0,46.62576687116564
Hungary,25.0,11.0,44.0
ICC World XI,0.0,1.0,0.0
India,712.0,446.0,62.64044943820225
Indonesia,74.0,41.0,55.4054054054054
Iran,0.0,0.0,0.0
Ireland,346.0,140.0,40.46242774566474
Isle of Man,27.0,17.0,62.96296296296296
Israel,8.0,3.0,37.5
Italy,43.0,27.0,62.7906976744186
Ivory Coast,5.0,0.0,0.0
Japan,66.0,37.0,56.060606060606055
Jersey,57.0,34.0,59.64912280701754
Kenya,109.0,62.0,56.88073394495413
Kuwait,98.0,47.0,47.95918367346938
Lesotho,25.0,2.0,8.0
Luxembourg,36.0,12.0,33.33333333333333
Malawi,32.0,13.0,40.625
Malaysia,144.0,70.0,48.61111111111111
Maldives,44.0,9.0,20.454545454545457
Mali,11.0,0.0,0.0
Malta,60.0,23.0,38.333333333333336
Mexico,18.0,8.0,44.44444444444444
Mongolia,24.0,0.0,0.0
Mozambique,37.0,13.0,35.13513513513514
Myanmar,41.0,17.0,41.46341463414634
Namibia,193.0,109.0,56.476683937823836
Nepal,211.0,116.0,54.976303317535546
Netherlands,213.0,97.0,45.539906103286384
New Zealand,587.0,307.0,52.29982964224872
Nigeria,99.0,48.0,48.484848484848484
Norway,34.0,15.0,44.11764705882353
Oman,160.0,72.0,45.0
Pakistan,583.0,257.0,44.082332761578044
Panama,19.0,4.0,21.052631578947366
Papua New Guinea,148.0,56.0,37.83783783783784
Philippines,30.0,9.0,30.0
Portugal,22.0,15.0,68.18181818181817
Qatar,66.0,28.0,42.42424242424242
Romania,43.0,27.0,62.7906976744186
Rwanda,125.0,50.0,40.0
Samoa,18.0,5.0,27.77777777777778
Saudi Arabia,43.0,20.0,46.51162790697674
Scotland,217.0,117.0,53.91705069124424
Serbia,32.0,10.0,31.25
Seychelles,15.0,2.0,13.333333333333334
Sierra Leone,44.0,20.0,45.45454545454545
Singapore,90.0,26.0,28.888888888888886
Slovenia,7.0,1.0,14.285714285714285
South Africa,587.0,306.0,52.12947189097103
South Korea,13.0,0.0,0.0
Spain,43.0,35.0,81.3953488372093
Sri Lanka,551.0,203.0,36.84210526315789
St Helena,9.0,2.0,22.22222222222222
Suriname,8.0,2.0,25.0
Swaziland,0.0,0.0,0.0
Sweden,29.0,13.0,44.827586206896555
Switzerland,18.0,12.0,66.66666666666666
Tanzania,86.0,51.0,59.30232558139535
Thailand,130.0,75.0,57.692307692307686
Turkey,15.0,1.0,6.666666666666667
Uganda,146.0,100.0,68.4931506849315
United Arab Emirates,273.0,139.0,50.91575091575091
United States of America,139.0,67.0,48.201438848920866
Vanuatu,44.0,20.0,45.45454545454545
West Indies,547.0,198.0,36.19744058500914
Zimbabwe,330.0,125.0,37.878787878787875
